Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
seed-20211	4020	57	15	42	1.458	seed-20211	5702		
seed-20320	2061	600	118	482	43.162	seed-20320	2061		
seed-20437	8023	375	191	184	3.861	seed-20437	13691		
seed-20441	2515	134	36	98	7.625	seed-20441	2557		
seed-20494	2244	65	3	62	4.158	seed-20494	2328		
seed-20682	2406	26	2	24	0.757	seed-20682	5083		
seed-21444	2940	149	45	104	7.346	seed-21444	2941		
seed-21519	2695	104	30	74	5.355	seed-21519	2836		
seed-21606	2489	73	11	62	4.187	seed-21606	2602		
seed-21683	1438	61	51	10	2.788	seed-21683	3035		
seed-21722	3278	142	40	102	6.375	seed-21722	3310		
seed-22063	2612	121	71	50	6.388	seed-22063	2709		
seed-22109	6969	255	131	124	3.827	seed-22109	9466		
seed-22161	3337	42	14	28	0.991	seed-22161	6200		
seed-22442	3448	54	24	30	0.728	seed-22442	10450		
seed-23440	4127	1992	1042	950	68.433	seed-23440	4129		
seed-23854	1347	24	12	12	1.239	seed-23854	2544		
seed-23989	2011	177	27	150	13.049	seed-23989	2011		
seed-24176	2022	91	49	42	4.725	seed-24176	2555		
seed-24468	2116	66	12	54	4.497	seed-24468	2163		
seed-24992	4264	66	24	42	1.499	seed-24992	6314		
seed-25031	2332	378	294	84	21.146	seed-25031	2471		
seed-25288	4485	150	108	42	2.308	seed-25288	8736		
seed-25710	6483	167	89	78	2.221	seed-25710	10422		
seed-26261	4885	269	107	162	7.905	seed-26261	4905		
seed-26411	3980	1782	934	848	64.226	seed-26411	3994		
seed-26522	2105	145	97	48	9.574	seed-26522	2105		
seed-26944	2083	80	38	42	5.012	seed-26944	2308		
seed-26961	2008	82	26	56	5.83	seed-26961	2070		
seed-27170	3563	186	34	152	7.561	seed-27170	3628		
seed-27451	836	105	83	22	6.105	seed-27451	2371		
seed-27599	919	9	5	4	0.35	seed-27599	3535		
seed-27623	2837	306	172	134	14.244	seed-27623	3002		
